"Notes"	"HHS Region"	"HHS Region Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"1995"	"1995"	80	8483	9.43
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"1996"	"1996"	73	8540	8.55
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"1997"	"1997"	85	8945	9.50
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"1998"	"1998"	86	9373	9.18
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"1995"	"1995"	30	5095	5.89
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"1996"	"1996"	24	5073	4.73
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"1997"	"1997"	40	5254	7.61
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"1998"	"1998"	38	5693	6.67
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic White"	"6"	"1995"	"1995"	687	135365	5.08
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic White"	"6"	"1996"	"1996"	590	133836	4.41
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic White"	"6"	"1997"	"1997"	627	129932	4.83
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic White"	"6"	"1998"	"1998"	634	130964	4.84
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic Black"	"7"	"1995"	"1995"	129	12103	10.66
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic Black"	"7"	"1996"	"1996"	149	11672	12.77
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic Black"	"7"	"1997"	"1997"	134	12067	11.10
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Non-Hispanic Black"	"7"	"1998"	"1998"	161	12354	13.03
	"HHS Region #2  NJ, NY"	"HHS2"	"Mexican"	"2148-5"	"1995"	"1995"	41	8266	4.96
	"HHS Region #2  NJ, NY"	"HHS2"	"Mexican"	"2148-5"	"1996"	"1996"	60	8591	6.98
	"HHS Region #2  NJ, NY"	"HHS2"	"Mexican"	"2148-5"	"1997"	"1997"	53	8490	6.24
	"HHS Region #2  NJ, NY"	"HHS2"	"Mexican"	"2148-5"	"1998"	"1998"	33	9367	3.52
	"HHS Region #2  NJ, NY"	"HHS2"	"Puerto Rican"	"2180-8"	"1995"	"1995"	223	23352	9.55
	"HHS Region #2  NJ, NY"	"HHS2"	"Puerto Rican"	"2180-8"	"1996"	"1996"	193	22502	8.58
	"HHS Region #2  NJ, NY"	"HHS2"	"Puerto Rican"	"2180-8"	"1997"	"1997"	172	22369	7.69
	"HHS Region #2  NJ, NY"	"HHS2"	"Puerto Rican"	"2180-8"	"1998"	"1998"	179	22423	7.98
	"HHS Region #2  NJ, NY"	"HHS2"	"Cuban"	"2182-4"	"1996"	"1996"	10	1350	7.41 (Unreliable)
	"HHS Region #2  NJ, NY"	"HHS2"	"Cuban"	"2182-4"	"1997"	"1997"	13	1423	9.14 (Unreliable)
	"HHS Region #2  NJ, NY"	"HHS2"	"Central or South American"	"4"	"1995"	"1995"	197	32504	6.06
	"HHS Region #2  NJ, NY"	"HHS2"	"Central or South American"	"4"	"1996"	"1996"	178	33583	5.30
	"HHS Region #2  NJ, NY"	"HHS2"	"Central or South American"	"4"	"1997"	"1997"	163	32760	4.98
	"HHS Region #2  NJ, NY"	"HHS2"	"Central or South American"	"4"	"1998"	"1998"	155	30925	5.01
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic White"	"6"	"1995"	"1995"	980	190724	5.14
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic White"	"6"	"1996"	"1996"	833	186507	4.47
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic White"	"6"	"1997"	"1997"	822	183809	4.47
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic White"	"6"	"1998"	"1998"	833	190464	4.37
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic Black"	"7"	"1995"	"1995"	960	69248	13.86
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic Black"	"7"	"1996"	"1996"	941	67323	13.98
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic Black"	"7"	"1997"	"1997"	855	66474	12.86
	"HHS Region #2  NJ, NY"	"HHS2"	"Non-Hispanic Black"	"7"	"1998"	"1998"	834	67957	12.27
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mexican"	"2148-5"	"1995"	"1995"	14	2500	5.60 (Unreliable)
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mexican"	"2148-5"	"1996"	"1996"	20	2795	7.16
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Mexican"	"2148-5"	"1998"	"1998"	13	3291	3.95 (Unreliable)
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Puerto Rican"	"2180-8"	"1995"	"1995"	44	5434	8.10
	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	"Puerto Rican"	"2180-8"	"1996"	"1996"	62	5561	11.15
