"Notes"	"HHS Region"	"HHS Region Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mexican"	"2148-5"	"2007"	"2007"	10	2098	4.77 (Unreliable)
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mexican"	"2148-5"	"2008"	"2008"	11	2066	5.32 (Unreliable)
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mexican"	"2148-5"	"2010"	"2010"	10	1774	5.64 (Unreliable)
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mexican"	"2148-5"	"2012"	"2012"	12	1623	7.39 (Unreliable)
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Mexican"	"2148-5"	"2015"	"2015"	10	1687	5.93 (Unreliable)
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2007"	"2007"	79	10311	7.66
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2008"	"2008"	77	10288	7.48
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2009"	"2009"	88	10292	8.55
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2010"	"2010"	72	9715	7.41
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2011"	"2011"	81	9380	8.64
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2012"	"2012"	84	9268	9.06
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2013"	"2013"	60	9801	6.12
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2014"	"2014"	74	9658	7.66
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Puerto Rican"	"2180-8"	"2015"	"2015"	81	9934	8.15
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"2007"	"2007"	46	9718	4.73
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"2008"	"2008"	52	9586	5.42
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"2009"	"2009"	56	9000	6.22
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Central or South American"	"4"	"2010"	"2010"	39	8956	4.35
