"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"1995"	"1995"	Suppressed	59	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"1996"	"1996"	Suppressed	83	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"1997"	"1997"	Suppressed	122	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"1998"	"1998"	Suppressed	143	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"1995"	"1995"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"1996"	"1996"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"1997"	"1997"	Suppressed	11	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"1998"	"1998"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"1995"	"1995"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"1996"	"1996"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"1997"	"1997"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"1998"	"1998"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"1995"	"1995"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"1996"	"1996"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"1997"	"1997"	Suppressed	18	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"1998"	"1998"	Suppressed	11	Suppressed
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"1995"	"1995"	39	4809	8.11
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"1996"	"1996"	37	4778	7.74
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"1997"	"1997"	32	4835	6.62
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"1998"	"1998"	39	4638	8.41
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"1995"	"1995"	70	4253	16.46
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"1996"	"1996"	64	4029	15.88
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"1997"	"1997"	70	4255	16.45
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"1998"	"1998"	69	4484	15.39
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"1995"	"1995"	Suppressed	30	Suppressed
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"1996"	"1996"	Suppressed	24	Suppressed
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	"1997"	"1997"	Suppressed	18	Suppressed
