"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"1999"	"1999"	Suppressed	191	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2000"	"2000"	Suppressed	244	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2001"	"2001"	Suppressed	246	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2002"	"2002"	Suppressed	295	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"1999"	"1999"	Suppressed	12	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2000"	"2000"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2001"	"2001"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2002"	"2002"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"1999"	"1999"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2000"	"2000"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2001"	"2001"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2002"	"2002"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"1999"	"1999"	Suppressed	17	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2000"	"2000"	Suppressed	23	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2001"	"2001"	Suppressed	30	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2002"	"2002"	Suppressed	34	Suppressed
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"1999"	"1999"	33	4656	7.09
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2000"	"2000"	32	4674	6.85
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2001"	"2001"	28	4325	6.47
