"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2007"	"2007"	Suppressed	680	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2008"	"2008"	Suppressed	636	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2009"	"2009"	Suppressed	627	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2010"	"2010"	Suppressed	504	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2011"	"2011"	Suppressed	521	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2012"	"2012"	Suppressed	436	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2013"	"2013"	Suppressed	435	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2014"	"2014"	Suppressed	439	Suppressed
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"2015"	"2015"	Suppressed	470	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2007"	"2007"	Suppressed	18	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2008"	"2008"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2009"	"2009"	Suppressed	28	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2010"	"2010"	Suppressed	12	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2011"	"2011"	Suppressed	22	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2012"	"2012"	Suppressed	13	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2013"	"2013"	Suppressed	18	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2014"	"2014"	Suppressed	13	Suppressed
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	"2015"	"2015"	Suppressed	27	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2007"	"2007"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2008"	"2008"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2009"	"2009"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2010"	"2010"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2011"	"2011"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2012"	"2012"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2013"	"2013"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2014"	"2014"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	"2015"	"2015"	Suppressed	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2007"	"2007"	Suppressed	119	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2008"	"2008"	Suppressed	139	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2009"	"2009"	Suppressed	160	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2010"	"2010"	Suppressed	147	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2011"	"2011"	Suppressed	117	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2012"	"2012"	Suppressed	118	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2013"	"2013"	Suppressed	146	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2014"	"2014"	Suppressed	111	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	"2015"	"2015"	Suppressed	158	Suppressed
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2007"	"2007"	43	4101	10.49
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2008"	"2008"	33	4100	8.05
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2009"	"2009"	25	4715	5.30
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2010"	"2010"	30	3874	7.74
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2011"	"2011"	20	3875	5.16
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2012"	"2012"	20	3914	5.11
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2013"	"2013"	29	3781	7.67
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2014"	"2014"	24	4031	5.95
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	"2015"	"2015"	27	3841	7.03
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2007"	"2007"	72	4585	15.70
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2008"	"2008"	72	4500	16.00
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2009"	"2009"	64	4671	13.70
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2010"	"2010"	69	4154	16.61
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2011"	"2011"	55	4170	13.19
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2012"	"2012"	74	4331	17.09
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2013"	"2013"	68	4057	16.76
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2014"	"2014"	64	4127	15.51
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	"2015"	"2015"	59	4052	14.56
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2007"	"2007"	Suppressed	289	Suppressed
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2008"	"2008"	Suppressed	280	Suppressed
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"2009"	"2009"	Suppressed	280	Suppressed
