"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	29	4748	6.11
	"Jefferson County, AL"	"01073"	"Puerto Rican"	"2180-8"	Suppressed	159	Suppressed
	"Jefferson County, AL"	"01073"	"Cuban"	"2182-4"	Suppressed	39	Suppressed
	"Jefferson County, AL"	"01073"	"Central or South American"	"4"	Suppressed	1215	Suppressed
	"Jefferson County, AL"	"01073"	"Non-Hispanic White"	"6"	251	36232	6.93
	"Jefferson County, AL"	"01073"	"Non-Hispanic Black"	"7"	598	38647	15.47
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	15	2192	6.84 (Unreliable)
	"Madison County, AL"	"01089"	"Puerto Rican"	"2180-8"	Suppressed	221	Suppressed
	"Madison County, AL"	"01089"	"Cuban"	"2182-4"	Suppressed	16	Suppressed
	"Madison County, AL"	"01089"	"Central or South American"	"4"	Suppressed	472	Suppressed
	"Madison County, AL"	"01089"	"Non-Hispanic White"	"6"	132	22395	5.89
	"Madison County, AL"	"01089"	"Non-Hispanic Black"	"7"	139	10895	12.76
	"Mobile County, AL"	"01097"	"Mexican"	"2148-5"	Suppressed	660	Suppressed
	"Mobile County, AL"	"01097"	"Puerto Rican"	"2180-8"	Suppressed	141	Suppressed
	"Mobile County, AL"	"01097"	"Cuban"	"2182-4"	Suppressed	56	Suppressed
	"Mobile County, AL"	"01097"	"Central or South American"	"4"	Suppressed	505	Suppressed
	"Mobile County, AL"	"01097"	"Non-Hispanic White"	"6"	173	27312	6.33
	"Mobile County, AL"	"01097"	"Non-Hispanic Black"	"7"	271	22038	12.30
	"Unidentified Counties, AL"	"01999"	"Mexican"	"2148-5"	118	19955	5.91
	"Unidentified Counties, AL"	"01999"	"Puerto Rican"	"2180-8"	Suppressed	1034	Suppressed
	"Unidentified Counties, AL"	"01999"	"Cuban"	"2182-4"	Suppressed	228	Suppressed
	"Unidentified Counties, AL"	"01999"	"Central or South American"	"4"	60	8881	6.76
	"Unidentified Counties, AL"	"01999"	"Non-Hispanic White"	"6"	1708	241146	7.08
	"Unidentified Counties, AL"	"01999"	"Non-Hispanic Black"	"7"	1228	95980	12.79
	"Anchorage Borough, AK"	"02020"	"Mexican"	"2148-5"	Suppressed	1988	Suppressed
	"Anchorage Borough, AK"	"02020"	"Puerto Rican"	"2180-8"	Suppressed	458	Suppressed
	"Anchorage Borough, AK"	"02020"	"Cuban"	"2182-4"	Suppressed	97	Suppressed
	"Anchorage Borough, AK"	"02020"	"Central or South American"	"4"	Suppressed	571	Suppressed
	"Anchorage Borough, AK"	"02020"	"Non-Hispanic White"	"6"	99	22883	4.33
	"Anchorage Borough, AK"	"02020"	"Non-Hispanic Black"	"7"	19	2600	7.31 (Unreliable)
	"Unidentified Counties, AK"	"02999"	"Mexican"	"2148-5"	Suppressed	1490	Suppressed
	"Unidentified Counties, AK"	"02999"	"Puerto Rican"	"2180-8"	Suppressed	324	Suppressed
	"Unidentified Counties, AK"	"02999"	"Cuban"	"2182-4"	Suppressed	52	Suppressed
	"Unidentified Counties, AK"	"02999"	"Central or South American"	"4"	Suppressed	357	Suppressed
	"Unidentified Counties, AK"	"02999"	"Non-Hispanic White"	"6"	124	33757	3.67
	"Unidentified Counties, AK"	"02999"	"Non-Hispanic Black"	"7"	12	1150	10.43 (Unreliable)
	"Maricopa County, AZ"	"04013"	"Mexican"	"2148-5"	1123	199303	5.63
	"Maricopa County, AZ"	"04013"	"Puerto Rican"	"2180-8"	15	2559	5.86 (Unreliable)
	"Maricopa County, AZ"	"04013"	"Cuban"	"2182-4"	Suppressed	855	Suppressed
	"Maricopa County, AZ"	"04013"	"Central or South American"	"4"	34	8211	4.14
	"Maricopa County, AZ"	"04013"	"Non-Hispanic White"	"6"	1173	226569	5.18
	"Maricopa County, AZ"	"04013"	"Non-Hispanic Black"	"7"	365	30177	12.10
	"Pima County, AZ"	"04019"	"Mexican"	"2148-5"	295	50216	5.87
	"Pima County, AZ"	"04019"	"Puerto Rican"	"2180-8"	Suppressed	485	Suppressed
	"Pima County, AZ"	"04019"	"Cuban"	"2182-4"	Suppressed	114	Suppressed
	"Pima County, AZ"	"04019"	"Central or South American"	"4"	Suppressed	844	Suppressed
	"Pima County, AZ"	"04019"	"Non-Hispanic White"	"6"	222	45187	4.91
	"Pima County, AZ"	"04019"	"Non-Hispanic Black"	"7"	52	4721	11.01
	"Pinal County, AZ"	"04021"	"Mexican"	"2148-5"	17	2870	5.92 (Unreliable)
