"Notes"	"State"	"State Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Mexican"	"2148-5"	"1995"	"1995"	Suppressed	483	Suppressed
	"Alabama"	"01"	"Mexican"	"2148-5"	"1996"	"1996"	Suppressed	605	Suppressed
	"Alabama"	"01"	"Mexican"	"2148-5"	"1997"	"1997"	Suppressed	724	Suppressed
	"Alabama"	"01"	"Mexican"	"2148-5"	"1998"	"1998"	Suppressed	883	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"1995"	"1995"	Suppressed	92	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"1996"	"1996"	Suppressed	125	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"1997"	"1997"	Suppressed	88	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"1998"	"1998"	Suppressed	77	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"1995"	"1995"	Suppressed	20	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"1996"	"1996"	Suppressed	18	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"1997"	"1997"	Suppressed	13	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"1998"	"1998"	Suppressed	22	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"1995"	"1995"	Suppressed	107	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"1996"	"1996"	Suppressed	141	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"1997"	"1997"	Suppressed	179	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"1998"	"1998"	Suppressed	140	Suppressed
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"1995"	"1995"	282	39073	7.22
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"1996"	"1996"	317	39326	8.06
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"1997"	"1997"	293	39402	7.44
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"1998"	"1998"	306	40203	7.61
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"1995"	"1995"	295	19830	14.88
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"1996"	"1996"	298	19536	15.25
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"1997"	"1997"	267	19798	13.49
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"1998"	"1998"	308	20021	15.38
	"Alaska"	"02"	"Mexican"	"2148-5"	"1995"	"1995"	Suppressed	236	Suppressed
	"Alaska"	"02"	"Mexican"	"2148-5"	"1996"	"1996"	Suppressed	249	Suppressed
	"Alaska"	"02"	"Mexican"	"2148-5"	"1997"	"1997"	Suppressed	263	Suppressed
	"Alaska"	"02"	"Mexican"	"2148-5"	"1998"	"1998"	Suppressed	238	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"1995"	"1995"	Suppressed	56	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"1996"	"1996"	Suppressed	51	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"1997"	"1997"	Suppressed	38	Suppressed
	"Alaska"	"02"	"Puerto Rican"	"2180-8"	"1998"	"1998"	Suppressed	47	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"1995"	"1995"	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"1996"	"1996"	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"1997"	"1997"	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Cuban"	"2182-4"	"1998"	"1998"	Suppressed	Suppressed	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"1995"	"1995"	Suppressed	54	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"1996"	"1996"	Suppressed	59	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"1997"	"1997"	Suppressed	54	Suppressed
	"Alaska"	"02"	"Central or South American"	"4"	"1998"	"1998"	Suppressed	48	Suppressed
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"1995"	"1995"	36	6581	5.47
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"1996"	"1996"	30	6300	4.76
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"1997"	"1997"	43	6110	7.04
	"Alaska"	"02"	"Non-Hispanic White"	"6"	"1998"	"1998"	27	6148	4.39
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"1995"	"1995"	Suppressed	421	Suppressed
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"1996"	"1996"	Suppressed	387	Suppressed
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"1997"	"1997"	Suppressed	444	Suppressed
	"Alaska"	"02"	"Non-Hispanic Black"	"7"	"1998"	"1998"	Suppressed	386	Suppressed
	"Arizona"	"04"	"Mexican"	"2148-5"	"1995"	"1995"	177	24538	7.21
	"Arizona"	"04"	"Mexican"	"2148-5"	"1996"	"1996"	213	26746	7.96
	"Arizona"	"04"	"Mexican"	"2148-5"	"1997"	"1997"	197	27286	7.22
	"Arizona"	"04"	"Mexican"	"2148-5"	"1998"	"1998"	207	28385	7.29
	"Arizona"	"04"	"Puerto Rican"	"2180-8"	"1995"	"1995"	Suppressed	193	Suppressed
	"Arizona"	"04"	"Puerto Rican"	"2180-8"	"1996"	"1996"	Suppressed	289	Suppressed
