"Notes"	"State"	"State Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Mexican"	"2148-5"	"1999"	"1999"	Suppressed	1129	Suppressed
	"Alabama"	"01"	"Mexican"	"2148-5"	"2000"	"2000"	Suppressed	1411	Suppressed
	"Alabama"	"01"	"Mexican"	"2148-5"	"2001"	"2001"	Suppressed	1741	Suppressed
	"Alabama"	"01"	"Mexican"	"2148-5"	"2002"	"2002"	10	1919	5.21 (Unreliable)
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"1999"	"1999"	Suppressed	97	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2000"	"2000"	Suppressed	81	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2001"	"2001"	Suppressed	72	Suppressed
	"Alabama"	"01"	"Puerto Rican"	"2180-8"	"2002"	"2002"	Suppressed	91	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"1999"	"1999"	Suppressed	20	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2000"	"2000"	Suppressed	21	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2001"	"2001"	Suppressed	19	Suppressed
	"Alabama"	"01"	"Cuban"	"2182-4"	"2002"	"2002"	Suppressed	18	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"1999"	"1999"	Suppressed	114	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2000"	"2000"	Suppressed	162	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2001"	"2001"	Suppressed	137	Suppressed
	"Alabama"	"01"	"Central or South American"	"4"	"2002"	"2002"	Suppressed	237	Suppressed
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"1999"	"1999"	280	40190	6.97
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2000"	"2000"	268	40154	6.67
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2001"	"2001"	259	38342	6.75
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"2002"	"2002"	259	37403	6.92
	"Alabama"	"01"	"Non-Hispanic Black"	"7"	"1999"	"1999"	306	19719	15.52
